iter	Passed	Remaining
0	120	120615
1	121	60687
2	122	40619
3	122	30575
4	123	24543
5	123	20516
6	124	17656
7	125	15514
8	125	13835
9	126	12491
10	126	11394
11	127	10478
12	127	9696
13	128	9030
14	128	8451
15	129	7943
16	129	7500
17	130	7114
18	131	6772
19	131	6460
20	132	6178
21	133	5915
22	133	5677
23	134	5462
24	134	5261
25	135	5074
26	136	4903
27	136	4740
28	137	4587
29	137	4446
30	138	4314
31	138	4190
32	139	4076
33	139	3968
34	140	3865
35	140	3769
36	141	3676
37	141	3588
38	142	3511
39	143	3432
40	143	3358
41	144	3289
42	144	3224
43	145	3160
44	146	3102
45	146	3045
46	147	2989
47	148	2938
48	148	2889
49	149	2839
50	150	2791
51	150	2744
52	151	2702
53	151	2659
54	152	2618
55	152	2578
56	153	2541
57	154	2503
58	154	2466
59	155	2432
60	155	2397
61	156	2364
62	156	2332
63	157	2301
64	157	2271
65	158	2242
66	158	2213
67	159	2186
68	160	2159
69	160	2133
70	161	2110
71	161	2087
72	162	2064
73	163	2040
74	163	2017
75	164	1995
76	164	1974
77	165	1953
78	165	1932
79	166	1912
80	166	1893
81	167	1874
82	167	1852
83	168	1833
84	168	1816
85	169	1800
86	169	1783
87	170	1766
88	171	1752
89	171	1735
90	172	1720
91	172	1704
92	173	1689
93	173	1674
94	174	1659
95	174	1645
96	175	1632
97	176	1620
98	176	1607
99	177	1595
100	177	1582
101	178	1570
102	179	1558
103	179	1546
104	179	1534
105	180	1522
106	181	1511
107	181	1500
108	182	1488
109	182	1478
110	183	1467
111	183	1457
112	184	1447
113	185	1438
114	185	1428
115	186	1418
116	186	1408
117	187	1399
118	187	1389
119	188	1380
120	188	1371
121	189	1361
122	189	1352
123	190	1345
124	191	1337
125	191	1330
126	192	1322
127	193	1315
128	193	1307
129	194	1299
130	194	1292
131	195	1284
132	195	1277
133	196	1269
134	197	1263
135	197	1256
136	198	1249
137	198	1242
138	199	1235
139	199	1228
140	200	1221
141	200	1213
142	201	1207
143	201	1200
144	202	1193
145	203	1187
146	203	1181
147	204	1174
148	204	1168
149	205	1163
150	205	1157
151	206	1152
152	207	1148
153	208	1143
154	208	1138
155	209	1132
156	209	1127
157	210	1122
158	211	1117
159	211	1111
160	212	1105
161	212	1100
162	213	1095
163	213	1090
164	214	1084
165	214	1079
166	215	1074
167	216	1069
168	216	1064
169	217	1059
170	217	1055
171	218	1050
172	218	1045
173	219	1041
174	219	1036
175	220	1032
176	221	1028
177	221	1025
178	222	1020
179	223	1016
180	223	1012
181	224	1007
182	224	1004
183	225	1000
184	226	995
185	226	991
186	227	987
187	227	983
188	228	979
189	228	975
190	229	971
191	229	967
192	230	963
193	231	959
194	231	955
195	232	951
196	232	948
197	233	944
198	233	940
199	234	937
200	234	933
201	235	929
202	236	926
203	237	924
204	237	921
205	238	918
206	239	915
207	239	912
208	240	909
209	240	906
210	241	902
211	242	899
212	242	896
213	243	893
214	243	890
215	244	887
216	244	883
217	245	880
218	245	877
219	246	873
220	246	870
221	247	867
222	248	864
223	248	861
224	249	858
225	249	855
226	250	853
227	251	850
228	252	848
229	252	846
230	253	843
231	254	841
232	254	838
233	255	836
234	256	833
235	256	831
236	257	828
237	257	825
238	258	823
239	259	820
240	259	817
241	260	815
242	260	812
243	261	809
244	262	807
245	262	804
246	263	802
247	263	799
248	264	796
249	264	794
250	265	792
251	266	790
252	266	787
253	267	785
254	268	784
255	268	781
256	269	779
257	270	777
258	270	774
259	271	772
260	271	770
261	272	767
262	273	765
263	273	763
264	274	761
265	275	758
266	275	756
267	276	754
268	276	751
269	277	749
270	277	747
271	278	745
272	278	742
273	279	740
274	280	738
275	280	736
276	281	734
277	282	732
278	282	730
279	283	728
280	284	726
281	284	724
282	285	722
283	285	720
284	286	718
285	286	716
286	287	714
287	288	712
288	288	710
289	289	708
290	289	706
291	290	704
292	290	702
293	291	700
294	292	698
295	292	696
296	293	694
297	293	692
298	294	690
299	294	688
300	295	686
301	296	684
302	296	682
303	297	681
304	298	679
305	299	678
306	299	676
307	300	674
